iter	Passed	Remaining
639	1584	891
640	1586	888
641	1588	885
642	1589	882
643	1594	881
644	1596	878
645	1597	875
646	1599	872
647	1600	869
648	1602	866
649	1604	863
650	1607	861
651	1609	858
652	1610	856
653	1612	853
654	1614	850
655	1615	847
656	1617	844
657	1620	842
658	1622	839
659	1624	836
660	1625	833
661	1627	831
662	1629	828
663	1631	825
664	1634	823
665	1637	821
666	1638	818
667	1640	815
668	1642	812
669	1644	809
670	1646	807
671	1649	805
672	1651	802
673	1653	799
674	1654	796
675	1656	794
676	1658	791
677	1659	788
678	1662	786
679	1665	783
680	1667	780
681	1669	778
682	1671	775
683	1672	772
684	1674	769
685	1676	767
686	1679	765
687	1681	762
688	1683	759
689	1685	757
690	1686	754
691	1688	751
692	1691	749
693	1693	746
694	1694	743
695	1696	740
696	1697	738
697	1699	735
698	1700	732
699	1701	729
700	1703	726
701	1705	724
702	1707	721
703	1709	718
704	1711	716
705	1712	713
706	1714	710
707	1716	707
708	1719	705
709	1721	702
710	1722	700
711	1723	697
712	1725	694
713	1726	691
714	1727	688
715	1729	686
716	1731	683
717	1734	681
718	1736	678
719	1738	675
720	1740	673
721	1741	670
722	1743	667
723	1746	665
724	1750	663
725	1751	661
726	1753	658
727	1755	655
728	1757	653
729	1758	650
730	1761	648
731	1763	645
732	1765	643
733	1767	640
734	1769	637
735	1770	635
736	1772	632
737	1775	630
738	1778	628
739	1780	625
740	1781	622
741	1783	620
742	1785	617
743	1786	614
744	1790	613
745	1793	610
746	1794	607
747	1796	605
748	1798	602
749	1800	600
750	1804	598
751	1808	596
752	1811	594
753	1812	591
754	1816	589
755	1822	588
756	1825	585
757	1826	583
758	1828	580
759	1832	578
760	1834	576
761	1836	573
762	1837	570
763	1839	568
764	1841	565
765	1842	562
766	1847	561
767	1849	558
768	1851	556
769	1852	553
770	1855	551
771	1857	548
772	1860	546
773	1862	543
774	1864	541
775	1866	538
776	1868	536
777	1869	533
778	1871	530
779	1873	528
780	1877	526
781	1878	523
782	1880	521
783	1882	518
784	1883	515
785	1885	513
786	1887	510
787	1890	508
788	1892	505
789	1894	503
790	1895	500
791	1896	498
792	1898	495
793	1899	492
794	1902	490
795	1903	487
796	1905	485
797	1907	482
798	1908	480
799	1909	477
800	1911	474
801	1912	472
802	1915	469
803	1916	467
804	1918	464
805	1920	462
806	1922	459
807	1923	457
808	1925	454
809	1926	451
810	1929	449
811	1931	447
812	1933	444
813	1936	442
814	1937	439
815	1939	437
816	1940	434
817	1944	432
818	1946	430
819	1948	427
820	1949	425
821	1951	422
822	1952	419
823	1954	417
824	1956	414
825	1960	412
826	1962	410
827	1963	407
828	1965	405
829	1967	403
830	1969	400
831	1973	398
832	1975	395
833	1977	393
834	1978	391
835	1980	388
836	1982	386
837	1985	383
838	1987	381
839	1989	378
840	1990	376
841	1991	373
842	1993	371
843	1995	368
844	1997	366
845	1999	363
846	2001	361
847	2003	359
848	2004	356
849	2006	354
850	2007	351
851	2018	350
852	2023	348
853	2027	346
854	2031	344
855	2033	342
856	2035	339
857	2037	337
858	2038	334
859	2041	332
860	2045	330
861	2047	327
862	2050	325
863	2053	323
864	2059	321
865	2063	319
866	2065	316
867	2067	314
868	2072	312
869	2075	310
870	2077	307
871	2079	305
872	2081	302
873	2083	300
874	2086	298
875	2088	295
876	2091	293
877	2093	290
878	2096	288
879	2100	286
880	2102	284
881	2104	281
882	2106	279
883	2108	276
884	2109	274
885	2118	272
886	2123	270
887	2125	268
888	2132	266
889	2135	263
890	2136	261
891	2138	258
892	2140	256
893	2142	254
894	2147	251
895	2149	249
896	2151	247
897	2153	244
898	2154	242
899	2156	239
900	2160	237
901	2163	235
902	2165	232
903	2166	230
904	2168	227
905	2169	225
906	2172	222
907	2175	220
908	2178	218
909	2180	215
910	2182	213
911	2183	210
912	2187	208
913	2189	206
914	2193	203
915	2195	201
916	2196	198
917	2198	196
918	2201	194
919	2203	191
920	2205	189
921	2207	186
922	2208	184
923	2210	181
924	2212	179
925	2214	176
926	2217	174
927	2219	172
928	2221	169
929	2222	167
930	2223	164
931	2226	162
932	2229	160
933	2231	157
934	2233	155
935	2234	152
936	2236	150
937	2237	147
938	2239	145
939	2240	143
940	2243	140
941	2247	138
942	2248	135
943	2250	133
944	2251	131
945	2252	128
946	2254	126
947	2259	123
948	2261	121
949	2262	119
950	2264	116
951	2266	114
952	2267	111
953	2271	109
954	2274	107
955	2276	104
956	2277	102
957	2279	99
958	2280	97
959	2282	95
960	2284	92
961	2287	90
962	2289	87
963	2291	85
964	2292	83
965	2294	80
966	2295	78
967	2299	76
968	2302	73
969	2303	71
970	2305	68
971	2307	66
972	2308	64
973	2309	61
974	2312	59
975	2314	56
976	2317	54
977	2319	52
978	2320	49
979	2321	47
980	2323	44
981	2325	42
982	2328	40
983	2330	37
984	2332	35
985	2333	33
986	2334	30
987	2335	28
